subject,bloom_taxonomy_level,stem_word_count,stem_char_count,stem_unique_ratio,num_options,avg_option_word_count,std_option_word_count,avg_option_char_count,correct_answer_index,pairwise_avg_jaccard,avg_distractor_jaccard_to_correct,min_distractor_jaccard_to_correct,max_distractor_jaccard_to_correct,explanation_word_count,expl_to_question_jaccard,expl_to_correct_jaccard,expl_to_distractor_avg_jaccard,expl_new_info_ratio,expl_contains_correct_verbatim,citation_length,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,expl_semantic_to_question_cos,expl_semantic_to_correct_cos
softengineering,understand,12,89,1.0,4,9.25,1.79,67.75,1,0.093,0.096,0.05,0.188,26,0.118,0.226,0.108,0.615,False,0,18.41,13.67,14.55,18.95,0.757,0.6969
softengineering,remember,13,92,1.0,4,7.5,1.12,56.75,1,0.098,0.09,0.067,0.133,23,0.2,0.185,0.071,0.609,False,0,17.93,13.99,14.55,17.17,0.7819,0.717
softengineering,remember,16,111,1.0,4,3.5,0.5,12.5,2,0.244,0.311,0.167,0.6,19,0.346,0.211,0.082,0.316,False,0,42.55,11.3,13.02,16.43,0.9102,0.2791
softengineering,understand,10,77,1.0,4,9.5,3.77,64.5,1,0.074,0.077,0.05,0.13,24,0.097,0.258,0.02,0.542,False,0,18.78,13.37,15.9,16.31,0.65,0.4991
softengineering,understand,14,102,1.0,4,9.75,0.83,63.75,1,0.095,0.09,0.053,0.111,22,0.161,0.138,0.045,0.636,False,0,44.97,10.71,11.21,15.87,0.6284,0.5735
softengineering,remember,18,104,1.0,4,3.0,1.22,28.75,3,0.0,0.0,0.0,0.0,24,0.105,0.08,0.08,0.75,False,0,72.33,8.14,11.21,6.79,0.5215,0.3369
softengineering,understand,13,99,1.0,4,9.25,1.64,67.0,1,0.099,0.11,0.053,0.167,17,0.111,0.45,0.086,0.471,False,0,11.34,15.16,15.9,16.06,0.6159,0.8409
softengineering,remember,13,91,1.0,4,9.0,0.71,60.25,1,0.15,0.134,0.062,0.214,20,0.179,0.077,0.074,0.7,False,0,50.47,9.45,13.02,15.83,0.7188,0.6028
softengineering,understand,15,126,1.0,4,14.0,5.87,94.0,0,0.09,0.095,0.061,0.125,32,0.068,0.191,0.058,0.625,False,0,24.06,14.37,15.9,17.36,0.617,0.6646
softengineering,understand,23,177,1.0,4,13.25,2.49,83.0,1,0.129,0.145,0.111,0.2,24,0.306,0.108,0.073,0.5,False,0,19.63,17.23,18.24,15.11,0.6997,0.4375
softengineering,apply,21,148,1.0,4,10.5,3.84,74.5,1,0.072,0.06,0.037,0.091,25,0.15,0.176,0.073,0.52,False,0,38.01,10.69,12.16,13.94,0.8399,0.223
softengineering,apply,30,185,1.0,4,6.0,0.71,34.75,3,0.494,0.419,0.3,0.625,30,0.132,0.057,0.059,0.767,False,0,47.83,10.56,13.02,9.54,0.5124,0.3815
softengineering,understand,16,118,1.0,4,10.0,1.87,75.5,2,0.215,0.213,0.125,0.278,21,0.233,0.231,0.198,0.476,False,0,30.33,13.25,14.55,16.92,0.5772,0.7871
softengineering,apply,14,116,1.0,4,9.5,2.69,61.0,1,0.098,0.086,0.05,0.118,27,0.139,0.25,0.06,0.519,False,0,11.13,15.43,15.9,20.89,0.8489,0.6294
softengineering,understand,15,107,1.0,4,8.5,2.18,51.75,2,0.096,0.11,0.077,0.143,23,0.188,0.148,0.066,0.565,False,0,38.17,12.41,15.9,11.23,0.6659,0.4257
softengineering,understand,15,94,1.0,4,12.25,2.95,78.5,1,0.058,0.05,0.037,0.074,22,0.121,0.147,0.054,0.636,False,0,39.33,11.5,13.02,12.77,0.7009,0.7279
softengineering,apply,24,176,1.0,4,7.25,1.48,60.75,0,0.264,0.31,0.2,0.5,27,0.085,0.062,0.084,0.778,False,0,34.2,11.72,14.55,14.94,0.4442,0.261
softengineering,understand,24,184,1.0,4,12.0,2.45,79.5,1,0.278,0.273,0.182,0.4,23,0.119,0.219,0.111,0.652,False,0,38.92,15.53,14.55,11.31,0.5994,0.7676
softengineering,understand,14,96,1.0,4,9.0,1.73,60.75,1,0.142,0.111,0.111,0.111,16,0.2,0.4,0.091,0.312,False,0,44.97,10.71,14.55,12.39,0.6811,0.5969
softengineering,remember,16,86,1.0,4,4.75,0.43,42.5,1,0.268,0.262,0.25,0.286,21,0.156,0.238,0.085,0.571,False,0,68.98,7.61,13.02,7.72,0.8234,0.6156
